model,run,synthesis,historical,rcp26,rcp45,rcp60,rcp85
MPI-ESM-P,r1i1p1,0,ESD,,,,
MPI-ESM-P,r2i1p1,0,ESD,,,,
MRI-CGCM3,r1i1p1,0,AORCM,ESD,AORCM,ESD,AORCM
MRI-CGCM3,r2i1p1,0,Basic,,,,
MRI-CGCM3,r3i1p1,0,Basic,,,,
MRI-CGCM3,r4i1p2,0,Basic,,,,
MRI-CGCM3,r5i1p2,0,Basic,,,,
MRI-ESM1,r1i1p1,0,ESD,,,,
NorESM1-ME,r1i1p1,0,-,-,-,-,-
NorESM1-ME,r1i1p2,0,-,,,,
NorESM1-M,r1i1p1,0,AORCM,AORCM,AORCM,AORCM,AORCM
NorESM1-M,r2i1p1,0,AORCM,,,,
NorESM1-M,r3i1p1,0,AORCM,,,,
bcc-csm1-1-m,r1i1p1,0,3Dml,ESD,3Dml,ESD,3Dml
bcc-csm1-1-m,r2i1p1,0,Basic,,,,
bcc-csm1-1-m,r3i1p1,0,Basic,,,,
bcc-csm1-1,r1i1p1,0,3Dml,ESD,3Dml,ESD,3Dml
bcc-csm1-1,r2i1p1,0,Basic,,,,
bcc-csm1-1,r3i1p1,0,Basic,,,,
inmcm4,r1i1p1,0,Basic,,Basic,,Basic
