,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria,4. Other criteria
CanESM5,r7i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,1.74,,CanESM,dust ss,,,
CanESM5,r8i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,1.68,,,dust ss,,,
CanESM5,r8i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,1.71,,CanESM,dust ss,,,
CanESM5,r9i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,,,0.00,,1.73,,,dust ss,,,
CanESM5,r9i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,1.72,,CanESM,dust ss,,,
CanESM5,r10i1p1f1,0.00,ESD,Basic,ESD,ESD,ESD,ESD,1,,,,0.00,,1.70,,,dust ss,,,
CanESM5,r10i1p2f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,,0.00,,1.73,,CanESM,dust ss,,,
CanESM5,r11i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.72,,,dust ss,,,
CanESM5,r11i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.71,,CanESM,dust ss,,,
CanESM5,r12i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.73,,,dust ss,,,
CanESM5,r12i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.72,,CanESM,dust ss,,,
CanESM5,r13i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.73,,,dust ss,,,
CanESM5,r13i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.73,,CanESM,dust ss,,,
CanESM5,r14i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.69,,,dust ss,,,
CanESM5,r14i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.72,,CanESM,dust ss,,,
CanESM5,r15i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.70,,,dust ss,,,
CanESM5,r15i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.72,,CanESM,dust ss,,,
CanESM5,r16i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.71,,,dust ss,,,
CanESM5,r16i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.72,,CanESM,dust ss,,,
CanESM5,r17i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.69,,,dust ss,,,
CanESM5,r17i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.74,,CanESM,dust ss,,,
CanESM5,r18i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.70,,,dust ss,,,
CanESM5,r18i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.72,,CanESM,dust ss,,,
CanESM5,r19i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.72,,,dust ss,,,
CanESM5,r19i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.69,,CanESM,dust ss,,,
CanESM5,r20i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.72,,,dust ss,,,
CanESM5,r20i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.70,,CanESM,dust ss,,,
CanESM5,r21i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,,0.00,,1.72,,,dust ss,,,
CanESM5,r21i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,,0.00,,1.71,,CanESM,dust ss,,,
